,Azinphos_ethyl,Fenitrothion,Interferent
200.0,0.17250098,0.364839,0.27156237
201.38888888888889,0.16633007,0.3193631,0.31759226
202.77777777777777,0.16922863,0.29105824,0.35755298
204.16666666666666,0.17819905,0.28079635,0.36879194
205.55555555555554,0.18658608,0.269156,0.34795964
206.94444444444446,0.19696936,0.24858116,0.30032682
208.33333333333334,0.21069388,0.21871722,0.2528376
209.72222222222223,0.2251048,0.18065716,0.21665473
211.11111111111111,0.2373304,0.14876312,0.18650287
212.5,0.24625216,0.13022956,0.15790507
213.88888888888889,0.2552783,0.12150912,0.13245404
215.27777777777777,0.26199368,0.115209974,0.10753898
216.66666666666666,0.26150417,0.106451325,0.09062288
218.05555555555554,0.2539878,0.09424156,0.07860656
219.44444444444446,0.2363873,0.081424505,0.07323231
220.83333333333334,0.21527979,0.07191439,0.07351685
222.22222222222223,0.19066878,0.065136254,0.07977637
223.61111111111111,0.15585381,0.060302988,0.08976117
225.0,0.11875601,0.05698379,0.101036705
226.38888888888889,0.09247659,0.0589767,0.10930836
227.77777777777777,0.07754186,0.0619558,0.11403594
229.16666666666666,0.06868005,0.066873096,0.11573088
230.55555555555554,0.06258211,0.07288116,0.11436239
231.94444444444446,0.058322214,0.08102626,0.10889853
233.33333333333331,0.055533882,0.08831155,0.10021849
234.72222222222223,0.054327548,0.097616434,0.090581834
236.11111111111111,0.053258624,0.10462672,0.07975357
237.5,0.052226607,0.11250217,0.06801297
238.88888888888889,0.052143276,0.11779855,0.05606191
240.27777777777777,0.054283474,0.12168302,0.04646855
241.66666666666666,0.059351873,0.124162175,0.03656548
243.05555555555554,0.06470552,0.12604138,0.027887877
244.44444444444446,0.06906699,0.124645405,0.02056141
245.83333333333331,0.07310017,0.12407972,0.015845807
247.22222222222223,0.07820048,0.119209744,0.011191184
248.61111111111111,0.08176099,0.115585394,0.0060137445
250.0,0.08363541,0.10980984,0.0030067603
251.38888888888889,0.08373808,0.10526833,0.0016864164
252.77777777777777,0.08379585,0.09887299,0.0
254.16666666666666,0.08264836,0.09481373,0.0
255.55555555555554,0.07944364,0.0876266,0.0
256.94444444444446,0.07620588,0.08260914,0.0
258.3333333333333,0.07266136,0.077339716,0.0
259.72222222222223,0.06978668,0.071942694,0.0
261.1111111111111,0.06683431,0.065101914,0.0
262.5,0.06523467,0.060091853,0.0
263.8888888888889,0.061981045,0.0549248,0.0
265.27777777777777,0.05658841,0.050903104,0.0
266.66666666666663,0.050356433,0.045077946,0.0
268.05555555555554,0.047477946,0.040040933,0.0
269.44444444444446,0.047899116,0.036654092,0.0
270.8333333333333,0.046951573,0.03244862,0.0
272.22222222222223,0.039287407,0.028293407,0.0
273.6111111111111,0.028790448,0.025541337,0.0
275.0,0.02013044,0.022769509,0.0
276.3888888888889,0.013922124,0.02207575,0.0
277.77777777777777,0.008733473,0.021132424,0.0
279.16666666666663,0.0060840496,0.01925438,0.00035785124
280.55555555555554,0.0053166295,0.019013012,0.0
281.94444444444446,0.0045924177,0.018910125,0.0
283.3333333333333,0.0027609689,0.015968952,0.0
284.72222222222223,0.0028537565,0.014482236,0.00045396568
286.1111111111111,0.0031992677,0.016166074,0.0
287.5,0.0028256625,0.015659302,0.0
288.8888888888889,0.0016534404,0.015449658,0.0
290.27777777777777,0.0020013072,0.011922001,0.0005936115
291.66666666666663,0.00261483,0.011920806,0.0
293.05555555555554,0.002549627,0.013166654,0.0
294.44444444444446,0.0010500975,0.010797414,0.0
295.8333333333333,0.0012814768,0.009062743,0.0005658967
297.22222222222223,0.002110159,0.010649183,0.00015673134
298.6111111111111,0.0015474482,0.01121887,0.0
300.0,0.0,0.0107866125,0.0
