,Diazinon,Parathion_ethyl,Interferent
200.0,0.2884012,0.41439143,0.26595813
201.38888888888889,0.2738795,0.36092073,0.25780395
202.77777777777777,0.2555629,0.32400984,0.24484548
204.16666666666666,0.23369685,0.29623368,0.22551353
205.55555555555554,0.20668717,0.27251524,0.19967517
206.94444444444446,0.18085214,0.25200927,0.17365564
208.33333333333334,0.16471872,0.23266731,0.15746684
209.72222222222223,0.15700647,0.21311292,0.14960591
211.11111111111111,0.15054344,0.19084343,0.14315265
212.5,0.14279793,0.16604026,0.13578859
213.88888888888889,0.13087045,0.13882819,0.12437771
215.27777777777777,0.11177856,0.1118519,0.105737254
216.66666666666666,0.090767324,0.08840836,0.08487907
218.05555555555554,0.07492175,0.07182896,0.06887674
219.44444444444446,0.065971635,0.06544526,0.059123557
220.83333333333334,0.061658785,0.067948386,0.053710595
222.22222222222223,0.060864735,0.077742495,0.05149654
223.61111111111111,0.06255431,0.09157284,0.052032676
225.0,0.06594758,0.107653804,0.054391615
226.38888888888889,0.07009605,0.123723716,0.05776466
227.77777777777777,0.07491862,0.13712843,0.06262569
229.16666666666666,0.080865204,0.14548182,0.06955216
230.55555555555554,0.08761003,0.14623144,0.0777779
231.94444444444446,0.094852805,0.13659005,0.087764494
233.33333333333331,0.10319834,0.11824915,0.09951879
234.72222222222223,0.11272183,0.091922306,0.11255951
236.11111111111111,0.12268598,0.06038997,0.12668057
237.5,0.13297224,0.037275158,0.13977179
238.88888888888889,0.14269087,0.024475235,0.15137607
240.27777777777777,0.15162875,0.017848821,0.16136894
241.66666666666666,0.15906137,0.013723075,0.170075
243.05555555555554,0.16507895,0.011075693,0.17698275
244.44444444444446,0.16908747,0.00896678,0.18152146
245.83333333333331,0.17124696,0.007293552,0.1837209
247.22222222222223,0.17122251,0.0062186695,0.18385047
248.61111111111111,0.16925514,0.0053194067,0.18201016
250.0,0.16548696,0.0042815204,0.17824538
251.38888888888889,0.16020302,0.00346115,0.17223448
252.77777777777777,0.153488,0.0029384955,0.16490118
254.16666666666666,0.14527169,0.0026811091,0.15617944
255.55555555555554,0.13569227,0.0022913176,0.14635634
256.94444444444446,0.12533396,0.0018448577,0.1348934
258.3333333333333,0.11415722,0.0016261854,0.12284537
259.72222222222223,0.10270566,0.001384477,0.110585086
261.1111111111111,0.09123045,0.0015994621,0.098014824
262.5,0.07955082,0.0014023666,0.08558896
263.8888888888889,0.06847777,0.0013211269,0.073519416
265.27777777777777,0.058029894,0.00080493354,0.0625041
266.66666666666663,0.04894691,0.0008665578,0.05260178
268.05555555555554,0.040905498,0.00079638656,0.044029415
269.44444444444446,0.03375848,0.0007077158,0.036782857
270.8333333333333,0.027800648,0.00056600006,0.028919058
272.22222222222223,0.022986177,0.00043176097,0.025297256
273.6111111111111,0.019259514,0.0002858085,0.02145023
275.0,0.016478721,0.00031643896,0.017013045
276.3888888888889,0.014297383,0.0001635102,0.015392831
277.77777777777777,0.0127860885,0.00043819123,0.013633502
279.16666666666663,0.011294734,0.00031137228,0.011233735
280.55555555555554,0.010195683,0.00021398024,0.010212032
281.94444444444446,0.009430672,0.00014778986,0.009695754
283.3333333333333,0.008678165,9.771971e-05,0.009630056
284.72222222222223,0.007873705,0.00010436451,0.008064944
286.1111111111111,0.0076139034,0.00029643482,0.0072801784
287.5,0.0069246395,0.0002063718,0.007348164
288.8888888888889,0.0064428425,0.0002562914,0.0063125705
290.27777777777777,0.0059401235,0.00010388527,0.0064532883
291.66666666666663,0.00542639,0.00010209769,0.0051939036
293.05555555555554,0.005137567,5.9397735e-05,0.005501943
294.44444444444446,0.004642921,0.00023858478,0.0046608956
295.8333333333333,0.0042923046,0.00017143947,0.0047917212
297.22222222222223,0.0039423415,0.00046743857,0.00421344
298.6111111111111,0.0035459555,0.0005363774,0.003930734
300.0,0.0031374486,0.0005605327,0.0031511306
